Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10
Data,0,record,timestamp,1569346450,s,speed,25,m/s,stance_time,278,ms,pronation_excursion,14,degrees,pitch_excursion,85,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346455,s,speed,26,m/s,stance_time,282,ms,pronation_excursion,18,degrees,pitch_excursion,85,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346460,s,speed,26,m/s,stance_time,280,ms,pronation_excursion,16,degrees,pitch_excursion,84,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346465,s,speed,26,m/s,stance_time,288,ms,pronation_excursion,13,degrees,pitch_excursion,83,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346470,s,speed,27,m/s,stance_time,273,ms,pronation_excursion,14,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346475,s,speed,26,m/s,stance_time,276,ms,pronation_excursion,17,degrees,pitch_excursion,82,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346480,s,speed,27,m/s,stance_time,277,ms,pronation_excursion,16,degrees,pitch_excursion,82,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346485,s,speed,27,m/s,stance_time,272,ms,pronation_excursion,16,degrees,pitch_excursion,85,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346490,s,speed,25,m/s,stance_time,280,ms,pronation_excursion,12,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346495,s,speed,26,m/s,stance_time,298,ms,pronation_excursion,11,degrees,pitch_excursion,78,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346500,s,speed,26,m/s,stance_time,286,ms,pronation_excursion,14,degrees,pitch_excursion,82,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346505,s,speed,26,m/s,stance_time,281,ms,pronation_excursion,14,degrees,pitch_excursion,83,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346510,s,speed,25,m/s,stance_time,282,ms,pronation_excursion,14,degrees,pitch_excursion,84,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346515,s,speed,25,m/s,stance_time,283,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346520,s,speed,26,m/s,stance_time,282,ms,pronation_excursion,13,degrees,pitch_excursion,83,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
